"Friends List"," Most friends are ERP accounts with sexual usernames or avatars"
"Groups List"," User is in many groups dedicated to ERP or bypass clothing"
"Favourites (word)"," User has an inappropriate word spelled with favourites games"
"Favourites (Image)"," User has an inappropriate image on favourites"
"Favourites (game)"," User has ERP games in favourites"
